,Média,Minímo,Máximo,FFT Real,FFT Imaginário,class
66,289.51025390625,-2954.0,3155.0,20964.011392596356,2.842170943040401e-14,2
67,264.5908203125,-1032.0,1538.0,7756.2780159660215,0.0,2
68,253.046875,-1274.0,1517.0,8058.382444253039,5.684341886080802e-14,2
69,282.14404296875,-1969.0,2437.0,13390.797736148752,-2.2737367544323206e-13,2
70,268.6015625,-1615.0,2378.0,14088.240464168313,-7.105427357601002e-14,2
71,272.7734375,-3678.0,3706.0,18942.171323579427,-1.1368683772161603e-13,2
72,246.291015625,-176.0,646.0,2074.724389418383,-2.842170943040401e-14,3
73,219.86962890625,-203.0,682.0,2285.921702071756,-8.881784197001252e-16,3
74,213.66357421875,-546.0,983.0,3642.035187500802,-2.842170943040401e-14,3
75,303.42431640625,-3245.0,4059.0,18710.78702584083,-5.684341886080802e-14,3
76,379.67529296875,-2709.0,3125.0,14879.424099904045,-1.1368683772161603e-13,3
77,351.5654296875,-2521.0,5222.0,18849.949956597553,1.1368683772161603e-13,3
78,247.98388671875,-465.0,1024.0,3593.2880671764824,0.0,3
79,156.76025390625,-1870.0,2084.0,10523.987761898235,0.0,3
80,335.83056640625,-1905.0,2444.0,11424.083814870453,5.684341886080802e-14,3
81,303.1826171875,-1317.0,1631.0,7252.344931615315,0.0,3
82,306.33935546875,-1440.0,1677.0,8383.471617989668,-1.1368683772161603e-13,3
83,266.939453125,-1129.0,2049.0,9517.330670492862,5.684341886080802e-14,3
84,258.16064453125,-392.0,921.0,4897.416707371678,-2.842170943040401e-14,3
85,101.31396484375,-4034.0,4801.0,26412.243396433798,1.1368683772161603e-13,3
86,236.31396484375,-2930.0,3255.0,15524.018330576318,1.4210854715202004e-13,3
87,277.732421875,-3060.0,3186.0,13168.98593548145,2.2737367544323206e-13,3
88,160.6123046875,-4425.0,4810.0,26046.018461328313,1.7053025658242404e-13,3
89,236.9072265625,-3118.0,3943.0,17826.52905984691,-2.2737367544323206e-13,3
90,391.90380859375,-3828.0,4041.0,23105.661733199795,-1.1368683772161603e-13,3
91,244.38037109375,-1214.0,1544.0,8345.764007262987,2.842170943040401e-14,3
92,421.98974609375,-5249.0,5323.0,31316.582264800898,2.2737367544323206e-13,3
93,298.7314453125,-3619.0,3863.0,20230.607911115403,-4.263256414560601e-14,3
94,335.3857421875,-4023.0,4222.0,22918.67644874708,2.2737367544323206e-13,3
95,211.0361328125,-4938.0,4955.0,28212.5166192028,2.2737367544323206e-13,3
